Timestamp(ms),Current(uA)
67060,4057.874
67070,4057.260
67080,12148.563
67090,16026.482
67100,17023.410
67110,34507.445
67120,43318.648
67130,46489.539
67140,47625.238
67150,48126.996
67160,48309.789
67170,48110.164
67180,47974.410
67190,47950.711
67200,48164.410
67210,48264.938
67220,48327.977
67230,48324.344
67240,48304.121
67250,48106.055
67260,48044.102
67270,47622.266
67280,48389.727
67290,55931.637
67300,55729.332
67310,55710.500
67320,55793.770
67330,55799.391
67340,55654.594
67350,55564.688
67360,55669.824
67370,55601.984
67380,55652.875
67390,55460.582
67400,55092.754
67410,55044.727
67420,55080.238
67430,55175.188
67440,55199.574
67450,55161.973
67460,55216.875
67470,55189.344
67480,55084.098
67490,54966.023
67500,54956.934
67510,54881.934
67520,54888.738
67530,55001.055
67540,55079.723
67550,55012.227
67560,55079.676
67570,58745.762
67580,60664.082
67590,61426.242
67600,61751.266
67610,61850.766
67620,61777.551
67630,61779.391
67640,61827.203
67650,61805.672
67660,61743.133
67670,61719.367
67680,61784.602
67690,61770.613
67700,61820.344
67710,61617.508
67720,61597.008
67730,61605.754
67740,61828.270
67750,61904.473
67760,61872.227
67770,61743.645
67780,61709.840
67790,61764.668
67800,61799.551
67810,61915.340
67820,61998.777
67830,62003.828
67840,59713.086
67850,57378.195
67860,56565.789
67870,56200.137
67880,56049.766
67890,55874.750
67900,55592.719
67910,55436.957
67920,55333.617
67930,55284.789
67940,55340.004
67950,55350.840
67960,55396.129
67970,55498.445
67980,55492.836
67990,59938.887
68000,62477.820
68010,63468.172
68020,63928.531
68030,64119.203
68040,63987.270
68050,63888.781
68060,63911.484
68070,63884.246
68080,64043.555
68090,63988.109
68100,63969.457
68110,63908.281
68120,63874.758
68130,64621.914
68140,71267.961
68150,73881.523
68160,75002.055
68170,66003.398
68180,65157.352
68190,78397.188
68200,87035.867
68210,89789.773
68220,90522.352
68230,92416.625
68240,88378.422
68250,88156.414
68260,103118.297
68270,110603.164
68280,105262.563
68290,101379.945
68300,100010.953
68310,99532.672
68320,101741.109
68330,101847.586
68340,99140.539
68350,96988.789
68360,97931.664
68370,100002.242
68380,100459.852
68390,107711.711
68400,110672.000
68410,109137.961
68420,108123.594
68430,108379.500
68440,108192.563
68450,100773.594
68460,100423.563
68470,104129.195
68480,108314.695
68490,101594.516
68500,100564.477
68510,109979.766
68520,114919.570
68530,116415.344
68540,117229.336
68550,117391.047
68560,117310.734
68570,117319.992
68580,117514.664
68590,117931.969
68600,117861.422
68610,117770.586
68620,118372.281
68630,117838.367
68640,117607.734
68650,117591.469
68660,117589.133
68670,117566.539
68680,117371.531
68690,117362.336
68700,117363.367
68710,117584.578
68720,117735.898
68730,117944.469
68740,117825.820
68750,117859.844
68760,117267.000
68770,117079.078
68780,117342.844
68790,117582.664
68800,117703.109
68810,117922.242
68820,117936.008
68830,117603.063
68840,117147.719
68850,117592.422
68860,117439.578
68870,117488.023
68880,117455.336
68890,117439.227
68900,117228.922
68910,117589.641
68920,117474.781
68930,117496.000
68940,117340.477
68950,117397.828
68960,117316.508
68970,116873.000
68980,116741.133
68990,117177.930
69000,117195.672
69010,115723.320
69020,116061.930
69030,116819.781
69040,117023.875
69050,117292.953
69060,117196.156
69070,117341.883
69080,117151.313
69090,117575.984
69100,117599.148
69110,117684.734
69120,117880.508
69130,118205.930
69140,117673.781
69150,117598.336
69160,117556.453
69170,117645.383
69180,117552.375
69190,117581.781
69200,117342.914
69210,117426.914
69220,117409.961
69230,117322.648
69240,117415.734
69250,117792.141
69260,117599.930
69270,117286.008
69280,117120.047
69290,117541.781
69300,117614.742
69310,117869.664
69320,117651.523
69330,117728.039
69340,117208.508
69350,117122.578
69360,117384.078
69370,117578.047
69380,117315.836
69390,117402.797
69400,117275.805
69410,117333.648
69420,117546.711
69430,117556.578
69440,117241.352
69450,117392.164
69460,117100.820
69470,117184.391
69480,116329.078
69490,116883.703
69500,116916.305
69510,116697.313
69520,91490.789
69530,34983.230
69540,14118.855
69550,6505.130
69560,4412.495
69570,5064.731
69580,6782.070
69590,8140.135
69600,6775.738
69610,5637.117
69620,4982.762
69630,4519.685
69640,4228.889
69650,4062.118
69660,3966.275
69670,3913.546
69680,3890.544
69690,3897.494
69700,3982.396
69710,4028.513
69720,3984.136
69730,3973.129
69740,3977.831
69750,3983.252
69760,4100.159
69770,4020.265
69780,3962.846
69790,3942.688
69800,3924.302
69810,3917.687
69820,3914.272
69830,3907.317
69840,3907.699
69850,3901.467
69860,3899.217
69870,3898.254
69880,3894.688
69890,3897.104
69900,3895.090
69910,3895.670
69920,3895.711
69930,3891.653
69940,3891.708
69950,3890.093
69960,3889.610
69970,3889.413
69980,3887.004
69990,3890.860
70000,3887.834
70010,3888.250
70020,3890.243
70030,3888.885
70040,3891.197
70050,3890.258
70060,3889.796
70070,3889.208
70080,3886.663
70090,3887.502
70100,3885.688
70110,3887.586
70120,3891.010
70130,3885.663
70140,3885.417
70150,3884.791
70160,3884.824
70170,3886.203
70180,3885.003
70190,3887.676
70200,3886.627
70210,3887.482
70220,3886.584
70230,3885.752
70240,3889.341
70250,3890.570
70260,3891.903
70270,3892.620
70280,3889.399
70290,3891.313
70300,3888.676
70310,3890.677
70320,3890.921
70330,3889.629
70340,3890.552
70350,3886.841
70360,3888.094
70370,3887.489
70380,3886.073
70390,3889.335
70400,3886.076
70410,3887.218
70420,3887.132
70430,3885.426
70440,3887.977
70450,3884.470
70460,3883.252
70470,3883.925
70480,3881.196
70490,3885.168
70500,3884.562
70510,3886.196
70520,3889.400
70530,3886.208
70540,3889.883
70550,3888.499
70560,3887.867
70570,3888.795
70580,3884.100
70590,3885.853
70600,3884.874
70610,3886.368
70620,3887.960
70630,3885.306
70640,3884.860
70650,3881.481
70660,3882.195
70670,3883.245
70680,3881.697
70690,3884.467
70700,3882.497
70710,3882.365
70720,3887.478
70730,3884.675
70740,3885.906
70750,3884.129
70760,3885.106
70770,3886.446
70780,3883.309
70790,3883.828
70800,3882.507
70810,3885.041
70820,3885.294
70830,3883.839
70840,3886.972
70850,3884.519
70860,3884.278
70870,3888.357
70880,3886.270
70890,3887.594
70900,3886.874
70910,3887.152
70920,3885.937
70930,3881.259
70940,3882.863
70950,3883.239
70960,3885.384
70970,3887.144
70980,3885.170
70990,3888.288
71000,3886.675
71010,3888.575
71020,3889.764
71030,3890.330
71040,3891.807
71050,3889.511
71060,3889.093
71070,3888.051
71080,3885.048
71090,3887.008
71100,3884.193
71110,3884.245
71120,3884.259
71130,3884.281
71140,3888.091
71150,3887.850
71160,3889.220
71170,3890.151
71180,3887.703
71190,3888.361
71200,3889.320
71210,3888.663
71220,3889.031
71230,3889.260
71240,3890.554
71250,3889.256
71260,3890.698
71270,3891.894
71280,3887.798
71290,3888.540
71300,3887.320
71310,3889.560
71320,3888.700
71330,3885.867
71340,3887.930
71350,3886.054
71360,3886.530
71370,3887.221
71380,3886.863
71390,3888.317
71400,3887.760
71410,3889.269
71420,3885.355
71430,3881.804
71440,3882.642
71450,3881.665
71460,3884.169
71470,3887.731
71480,3884.677
71490,3887.885
71500,3885.746
71510,6746.091
71520,13294.912
71530,16652.322
71540,19874.168
71550,37682.793
71560,44393.813
71570,46778.742
71580,47643.484
71590,48049.242
71600,48133.449
71610,47913.289
71620,47783.871
71630,47878.691
71640,48079.066
71650,48145.176
71660,48178.285
71670,48158.145
71680,48039.625
71690,47917.086
71700,47873.996
71710,47239.117
71720,49110.801
71730,55883.402
71740,55875.020
71750,55728.613
71760,55767.809
71770,55699.246
71780,55706.898
71790,55782.883
71800,55836.383
71810,55836.379
71820,55774.613
71830,55458.207
71840,55369.336
71850,55286.449
71860,55300.605
71870,55248.738
71880,55175.172
71890,55239.766
71900,55288.715
71910,55312.297
71920,55291.086
71930,55182.668
71940,55268.605
71950,55343.742
71960,55284.508
71970,55189.172
71980,55237.660
71990,55472.156
72000,56045.785
72010,59876.773
72020,61221.328
72030,61719.988
72040,61947.445
72050,61992.477
72060,62076.520
72070,62098.406
72080,62136.621
72090,62162.852
72100,62110.465
72110,62014.145
72120,61911.547
72130,62040.738
72140,62117.289
72150,62115.145
72160,62126.883
72170,62158.523
72180,62058.422
72190,62056.770
72200,62045.375
72210,61992.969
72220,62031.102
72230,62067.848
72240,62023.477
72250,62057.301
72260,62071.449
72270,62067.441
72280,58735.121
72290,57002.160
72300,56251.398
72310,56022.887
72320,56042.105
72330,55757.230
72340,55526.816
72350,55454.273
72360,55499.953
72370,55614.152
72380,55506.129
72390,55410.176
72400,55430.836
72410,55371.961
72420,55727.164
72430,60803.527
72440,62652.625
72450,63347.566
72460,63698.816
72470,63804.543
72480,63870.414
72490,63746.988
72500,63823.211
72510,63819.797
72520,63932.770
72530,64092.391
72540,64047.188
72550,64123.867
72560,64160.254
72570,67602.828
72580,72443.078
72590,74473.938
72600,75148.219
72610,60899.914
72620,70356.172
72630,80343.211
72640,89653.898
72650,88870.016
72660,92355.773
72670,90949.602
72680,87806.383
72690,91531.922
72700,106175.422
72710,111104.813
72720,104164.969
72730,100995.203
72740,100246.258
72750,99860.445
72760,102136.938
72770,102174.156
72780,97436.938
72790,99052.672
72800,97923.969
72810,99443.008
72820,102213.805
72830,109155.750
72840,110631.500
72850,109095.273
72860,108280.859
72870,108915.438
72880,105575.938
72890,102072.164
72900,99756.594
72910,106571.594
72920,105609.117
72930,100967.805
72940,103359.070
72950,111924.266
72960,115156.211
72970,116770.570
72980,116866.570
72990,117504.797
73000,117164.453
73010,117562.813
73020,117660.836
73030,118190.656
73040,117639.375
73050,118382.711
73060,118185.773
73070,118072.297
73080,117605.336
73090,117969.383
73100,117650.984
73110,118026.180
73120,117786.406
73130,118081.039
73140,117611.313
73150,117784.391
73160,117429.133
73170,117963.086
73180,117803.969
73190,118036.406
73200,117182.766
73210,117432.086
73220,117449.938
73230,117887.539
73240,117776.539
73250,118281.383
73260,117855.727
73270,117651.789
73280,117196.133
73290,117858.383
73300,117615.297
73310,117914.664
73320,117390.195
73330,117937.852
73340,117585.938
73350,118025.594
73360,117480.945
73370,117792.445
73380,117346.188
73390,117641.516
